iter	RMSE
0	145.8799241
1	142.1529028
2	138.4607596
3	135.3126118
4	132.2651171
5	129.4699922
6	126.6619011
7	123.8587301
8	121.5165004
9	119.125927
10	117.0833068
11	115.0371017
12	113.1257963
13	111.2289313
14	109.4562234
15	107.7490189
16	106.1702195
17	104.7869281
18	103.3731707
19	102.1297181
20	100.9173798
21	99.74773991
22	98.76420182
23	97.78146779
24	96.94563165
25	96.01101899
26	95.1584606
27	94.29899809
28	93.36338717
29	92.49375753
30	91.58154704
31	90.80682765
32	90.01557584
33	89.2935265
34	88.59477077
35	87.93919116
36	87.23971056
37	86.63722905
38	86.00985255
39	85.4900728
40	84.98366616
41	84.41487672
42	83.89341304
43	83.44731793
44	83.0129333
45	82.64125319
46	82.23166209
47	81.86371453
48	81.45310444
49	81.0292165
50	80.68755797
51	80.40980477
52	80.06023631
53	79.73332933
54	79.28761741
55	79.00530186
56	78.76537394
57	78.49977123
58	78.22109177
59	78.0239988
60	77.79303231
61	77.51679982
62	77.35147107
63	77.15898927
64	76.96419024
65	76.80253955
66	76.64184129
67	76.46643048
68	76.19974415
69	75.9854319
70	75.94910654
71	75.82637242
72	75.67133813
73	75.63783389
74	75.4714989
75	75.27685062
76	75.06651614
77	74.74849378
78	74.71771307
79	74.51048615
80	74.29703946
81	74.18811516
82	74.16012164
83	74.13157316
84	74.02659472
85	73.75782118
86	73.63664125
87	73.49908537
88	73.32023795
89	73.29641947
90	73.15431522
91	73.04818159
92	72.88522685
93	72.70241386
94	72.47595386
95	72.31569621
96	72.29449827
97	72.03822981
98	71.87236137
99	71.66932789
100	71.64987041
101	71.63089955
102	71.6124333
103	71.52756621
104	71.49469351
105	71.36827766
106	71.34200534
107	71.3248938
108	71.20461643
109	71.18913206
110	71.06146068
111	70.88743952
112	70.7472057
113	70.60336725
114	70.35881578
115	70.20439451
116	70.1904864
117	70.05988561
118	70.04638706
119	69.92295727
120	69.910463
121	69.8976594
122	69.88576938
123	69.75518998
124	69.7343298
125	69.62160562
126	69.54698449
127	69.45022627
128	69.43961689
129	69.37527682
130	69.29393201
131	69.19863054
132	69.16355635
133	68.99304968
134	68.96411637
135	68.88411298
136	68.76152231
137	68.67502725
138	68.63857686
139	68.62646092
140	68.61691164
141	68.60785245
142	68.57242105
143	68.51447045
144	68.43045086
145	68.42617257
146	68.40921207
147	68.39223897
148	68.38325411
149	68.37618983
150	68.29368928
151	68.2868148
152	68.27987724
153	68.05828503
154	67.93873191
155	67.92722719
156	67.88022309
157	67.76951312
158	67.76260449
159	67.75047366
160	67.71261495
161	67.7098715
162	67.62164746
163	67.55101734
164	67.54751254
165	67.53144669
166	67.36435706
167	67.36309879
168	67.35738466
169	67.35012166
170	67.28528754
171	67.2339017
172	67.15296277
173	67.1016402
174	67.04471591
175	66.96461804
176	66.9595096
177	66.954822
178	66.91789775
179	66.91274027
180	66.91146379
181	66.9073058
182	66.90053087
183	66.74660882
184	66.65942025
185	66.57516432
186	66.57190624
187	66.56812327
188	66.46249565
189	66.46116208
190	66.45958083
191	66.43886972
192	66.40907916
193	66.40505574
194	66.40155508
195	66.37320716
196	66.37005798
197	66.36288332
198	66.24453041
199	66.14860395
200	66.14547666
201	66.03674468
202	65.98377077
203	65.88360399
204	65.79603639
205	65.7896024
206	65.67537018
207	65.63369604
208	65.62858343
209	65.62598124
210	65.50382454
211	65.41424182
