iter	Passed	Remaining
0	124	187256
1	178	133768
2	232	116034
3	285	106835
4	336	100741
5	404	100794
6	456	97265
7	507	94626
8	564	93593
9	617	91967
10	670	90789
11	722	89552
12	772	88342
13	824	87479
14	880	87131
15	933	86559
16	991	86489
17	1091	89833
18	1144	89218
19	1199	88745
20	1250	88095
21	1301	87444
22	1355	87042
23	1397	85958
24	1424	84030
25	1474	83572
26	1529	83423
27	1582	83207
28	1637	83070
29	1687	82701
30	1738	82395
31	1789	82076
32	1840	81807
33	1891	81550
34	1941	81280
35	1991	80992
36	2043	80816
37	2091	80459
38	2143	80298
39	2193	80061
40	2248	80008
41	2298	79793
42	2351	79663
43	2402	79501
44	2453	79318
45	2505	79195
46	2559	79113
47	2607	78868
48	2662	78850
49	2711	78647
50	2763	78506
51	2814	78369
52	2865	78227
53	2914	78037
54	2968	77988
55	3018	77833
56	3070	77733
57	3119	77546
58	3181	77714
59	3238	77718
60	3289	77594
61	3341	77501
62	3401	77595
63	3459	77631
64	3514	77595
65	3569	77547
66	3621	77451
67	3675	77409
68	3730	77371
69	3787	77378
70	3826	77009
71	3878	76917
72	3931	76860
73	3950	76134
74	4006	76116
75	4059	76069
76	4111	75991
77	4165	75947
78	4185	75286
79	4241	75288
80	4297	75290
81	4348	75191
82	4372	74646
83	4427	74637
84	4480	74594
85	4537	74606
86	4589	74537
87	4641	74475
88	4695	74446
89	4716	73895
90	4769	73844
91	4822	73797
92	4874	73744
93	4925	73680
94	4975	73587
95	5029	73563
96	5057	73149
97	5108	73077
98	5159	73019
99	5211	72955
100	5235	72512
101	5259	72089
102	5283	71654
103	5338	71656
104	5390	71611
105	5444	71595
106	5485	71414
107	5512	71048
108	5564	71014
109	5589	70635
110	5638	70560
111	5692	70552
112	5747	70546
113	5799	70515
114	5852	70486
115	5901	70414
116	5933	70132
117	5985	70101
118	6026	69937
119	6080	69926
120	6100	69526
121	6132	69262
122	6153	68890
123	6208	68895
124	6255	68812
125	6309	68800
126	6362	68784
127	6417	68783
128	6436	68406
129	6492	68423
130	6545	68398
131	6594	68346
132	6638	68228
133	6691	68212
134	6732	68074
135	6784	68040
136	6833	67982
137	6884	67944
138	6934	67894
139	6979	67797
140	7011	67578
141	7035	67278
142	7085	67241
143	7133	67177
144	7188	67173
145	7220	66959
146	7271	66930
147	7314	66821
148	7349	66637
149	7372	66354
150	7424	66332
151	7448	66060
152	7471	65782
153	7524	65763
154	7573	65722
155	7624	65685
156	7674	65650
157	7726	65626
158	7765	65494
159	7811	65417
160	7860	65373
161	7886	65138
162	7935	65088
163	7983	65038
